Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
730	-1762.407	-1551.534	-210.8729	0.23502	0.090948	0.8508513	9.222434e-05	10	4.954255	0.2589388	0.00148557	0.0561057	0.468813	3.4736	0.8509435	0.286372	1.21632	0.935406	0.960043	1.56666	0.390966	0.572063	2.13929	0.955258	1.87488	0.0001083789
740	-1783.295	-1569.4	-213.8953	0.271118	0.08663077	0.7487854	8.06311e-05	10	4.899443	0.1633101	0.00324532	0.0823101	0.543957	3.37049	0.748866	0.288074	1.21632	1.2041	0.960043	1.20707	0.455017	0.644656	2.53461	0.955258	1.89966	0.0001076709
750	-1779.172	-1567.45	-211.7226	0.3240174	0.08955485	0.7042316	0.0001107607	10	4.907125	0.1528093	0.00744451	0.123262	0.634017	3.23528	0.7043423	0.22572	1.21632	0.989321	0.957496	1.4229	0.35672	0.492119	2.18411	1.03817	1.77787	0.0001572541
760	-1782.589	-1569.982	-212.6072	0.2022784	0.0864651	0.7528407	0.0001488364	10	4.837364	0.1559573	0.00057416	0.0351002	0.389578	3.57475	0.7529896	0.152865	1.21632	1.13893	0.957496	1.4229	0.379326	0.440574	2.21826	0.965885	1.77787	0.0001976607
770	-1785.928	-1572.38	-213.5484	0.2412576	0.0895755	0.5727046	0.0002018647	10	4.9964	0.178736	0.00172905	0.060453	0.482683	3.45513	0.5729065	0.102471	1.0813	1.35252	1.05172	1.78046	0.25724	0.541689	2.20697	0.965885	1.75949	0.0003523519
780	-1784.228	-1571.62	-212.608	0.2343458	0.09901241	0.7516054	0.0002609283	10	4.891656	0.1125751	0.00146069	0.0556413	0.46729	3.47561	0.7518663	0.0996796	1.36259	0.848867	1.05172	1.66419	0.356325	0.483681	2.20697	1.05291	1.75949	0.0003470408
790	-1779.749	-1568.432	-211.3166	0.2430976	0.1126383	0.6540768	0.0003029289	10	4.878004	0.1082216	0.00180553	0.0617525	0.486702	3.44974	0.6543798	0.0926697	1.56504	0.873141	0.985188	1.10626	0.267304	0.598264	2.20697	1.0146	1.87373	0.0004629253
800	-1780.451	-1567.242	-213.2092	0.2695205	0.08446528	0.7039411	0.0004406647	10	4.772478	0.1600558	0.00314895	0.0811061	0.540885	3.37486	0.7043818	0.0414865	1.00934	1.30273	1.11864	1.14786	0.403695	0.469119	2.20697	1.00993	1.87373	0.000625605
810	-1794.128	-1580.37	-213.7577	0.2204018	0.09549702	0.6504272	0.0007087808	10	4.696309	0.1745889	0.00100637	0.0463117	0.434785	3.5179	0.6511359	0.0577376	1.27885	1.08697	1.11864	1.47048	0.511296	0.543219	2.20697	1.00993	2.03697	0.00108853
820	-1787.406	-1572.545	-214.8612	0.248633	0.09461972	0.5438102	0.00109573	10	4.907064	0.2291457	0.00204866	0.0657045	0.498594	3.43365	0.5449059	0.0761576	1.27885	1.08697	1.11864	1.47048	0.555715	0.48134	2.26393	1.2376	1.95117	0.002010861
830	-1790.903	-1573.852	-217.0507	0.2151159	0.08070108	0.5416776	0.001054167	10	4.698894	0.2214517	0.000862834	0.0429255	0.421947	3.53427	0.5427318	0.185181	1.27885	1.32974	1.11281	1.85127	0.561335	0.599761	2.3031	1.2219	2.00152	0.001942335
840	-1791.744	-1575.163	-216.5802	0.2027262	0.08527901	0.633701	0.005559137	10	4.833614	0.1520919	0.000582881	0.0353629	0.390735	3.57332	0.6392601	0.103409	1.27215	1.14014	1.1865	1.27054	0.404194	0.319075	2.27481	1.11842	1.93583	0.008696205
850	-1789.936	-1572.746	-217.1894	0.2461214	0.07476312	0.5989879	0.001610155	10	4.693956	0.1914682	0.0019359	0.0639036	0.493235	3.44093	0.6005981	0.18919	1.27215	1.24698	1.0695	1.3201	0.500748	0.596087	2.43167	1.20869	1.92197	0.002680919
860	-1788.808	-1573.869	-214.9384	0.2342186	0.06915877	0.6136031	0.00303042	10	4.969369	0.130271	0.00145602	0.0555539	0.467003	3.47599	0.6166335	0.0901026	1.22983	1.25358	1.02764	1.74573	0.345442	0.642852	2.68496	1.20869	2.08777	0.004914459
870	-1795.886	-1582.452	-213.4336	0.2551697	0.07859552	0.7554971	0.002001483	10	4.686199	0.1589385	0.0023615	0.070448	0.512262	3.41493	0.7574985	0.388904	1.15744	1.25358	1.02764	1.91985	0.304197	0.610699	2.64162	1.14108	2.25164	0.002642226
880	-1780.567	-1570.353	-210.2141	0.2367097	0.09795307	0.7934544	0.001762965	10	4.904213	0.2845562	0.00154914	0.0572742	0.472608	3.46857	0.7952173	0.165164	1.68177	1.25174	1.05327	1.91985	0.420434	0.679554	2.59323	1.17607	2.19262	0.00221696
890	-1785.611	-1569.353	-216.2578	0.3196041	0.08562094	0.5415249	0.007023352	10	4.691274	0.2521415	0.00701967	0.119806	0.627303	3.24587	0.5485482	0.251878	1.68177	1.17365	1.2542	1.91794	0.420434	0.751994	2.71332	1.49602	2.51177	0.01280353
